Inputs,,,,Outputs,,,,
Date,G,v,Ta,P_PV_TE,N_PV_TE,,,
dd/mm/yy,W/m2,m/s,K,W,%,,,
1/14/2020,150.9273,7.25,277.69,2.819045755,11.1304308,,,
1/15/2020,157.9853,7.07,279.77,2.998098575,11.1900804,,,
1/16/2020,167.8606,3.07,277.8,3.497755579,11.41313737,,,
1/17/2020,165.8714,4.9,276.78,3.305565309,11.3190467,,,
1/18/2020,170.6867,4.71,277.03,3.440791696,11.36093531,,,
1/19/2020,164.9978,2.81,275.1,3.435908185,11.39986328,,,
1/20/2020,177.6919,3.13,274.35,3.743774949,11.4750952,,,
1/21/2020,182.8046,5.25,274.19,3.696883271,11.41521899,,,
1/22/2020,180.6604,4.89,275.39,3.675111571,11.41860922,,,
1/23/2020,186.658,2.68,274.51,4.032165121,11.55984271,,,
1/24/2020,187.0344,3.56,272.43,3.948171766,11.51687273,,,
1/25/2020,194.6032,3.67,272.78,4.143103759,11.56384207,,,
